task,target,model,stopping_condition,hyperparameter_optimization,selected_threshold,best_params,main_metrics,ranking_metrics,confusion_matrix,speed,business_role
Binary classification,high_future_performance,Random Forest Balanced,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, số lần lặp tối đa đã thiết lập.",Sử dụng RandomizedSearchCV với cross-validation theo thời gian trên tập train. Ngưỡng phân lớp được chọn trên validation fold cuối của tập train theo F1-score.,0.5399999999999998,"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 5, ""model__max_features"": ""log2"", ""model__max_depth"": 12}","Accuracy=0.8134, Balanced Accuracy=0.7794, Precision=0.6085, Recall=0.7114, Specificity=0.8474, F1=0.6560, ROC-AUC=0.8742, PR-AUC=0.6055, Brier=0.1272","Precision@Top10%=0.6420, Recall@Top10%=0.2587, Lift@Top10%=2.5679, Precision@Top25%=0.6119, Recall@Top25%=0.6119, Lift@Top25%=2.4478","TN=511, FP=92, FN=58, TP=143","train_time_seconds=30.2704, predict_time_ms=22.2087",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,Logistic Regression Balanced,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, số lần lặp tối đa đã thiết lập.",Sử dụng RandomizedSearchCV với cross-validation theo thời gian trên tập train. Ngưỡng phân lớp được chọn trên validation fold cuối của tập train theo F1-score.,0.6099999999999998,"{""model__C"": 0.3}","Accuracy=0.7960, Balanced Accuracy=0.7728, Precision=0.5725, Recall=0.7264, Specificity=0.8192, F1=0.6404, ROC-AUC=0.8606, PR-AUC=0.6036, Brier=0.1518","Precision@Top10%=0.6296, Recall@Top10%=0.2537, Lift@Top10%=2.5185, Precision@Top25%=0.6020, Recall@Top25%=0.6020, Lift@Top25%=2.4080","TN=494, FP=109, FN=55, TP=146","train_time_seconds=0.5826, predict_time_ms=0.0000",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,Linear SVM Balanced,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, số lần lặp tối đa đã thiết lập.",Sử dụng RandomizedSearchCV với cross-validation theo thời gian trên tập train. Ngưỡng phân lớp được chọn trên validation fold cuối của tập train theo F1-score.,0.30999999999999994,"{""model__C"": 3.0}","Accuracy=0.7873, Balanced Accuracy=0.7703, Precision=0.5564, Recall=0.7363, Specificity=0.8043, F1=0.6338, ROC-AUC=0.8543, PR-AUC=0.5927, Brier=0.1331","Precision@Top10%=0.6049, Recall@Top10%=0.2438, Lift@Top10%=2.4198, Precision@Top25%=0.5871, Recall@Top25%=0.5871, Lift@Top25%=2.3483","TN=485, FP=118, FN=53, TP=148","train_time_seconds=7.0852, predict_time_ms=11.9865",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,Gradient Boosting,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, số lần lặp tối đa đã thiết lập.",Sử dụng RandomizedSearchCV với cross-validation theo thời gian trên tập train. Ngưỡng phân lớp được chọn trên validation fold cuối của tập train theo F1-score.,0.29999999999999993,"{""model__subsample"": 1.0, ""model__n_estimators"": 300, ""model__max_depth"": 4, ""model__learning_rate"": 0.03}","Accuracy=0.7861, Balanced Accuracy=0.7595, Precision=0.5569, Recall=0.7065, Specificity=0.8126, F1=0.6228, ROC-AUC=0.8534, PR-AUC=0.5862, Brier=0.1382","Precision@Top10%=0.6296, Recall@Top10%=0.2537, Lift@Top10%=2.5185, Precision@Top25%=0.5622, Recall@Top25%=0.5622, Lift@Top25%=2.2488","TN=490, FP=113, FN=59, TP=142","train_time_seconds=26.9013, predict_time_ms=6.2935",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,HistGradientBoosting,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, số lần lặp tối đa đã thiết lập.",Sử dụng RandomizedSearchCV với cross-validation theo thời gian trên tập train. Ngưỡng phân lớp được chọn trên validation fold cuối của tập train theo F1-score.,0.20999999999999996,"{""model__max_leaf_nodes"": 31, ""model__max_iter"": 200, ""model__learning_rate"": 0.1, ""model__l2_regularization"": 0.0}","Accuracy=0.7998, Balanced Accuracy=0.7454, Precision=0.5926, Recall=0.6368, Specificity=0.8541, F1=0.6139, ROC-AUC=0.8600, PR-AUC=0.5952, Brier=0.1565","Precision@Top10%=0.6667, Recall@Top10%=0.2687, Lift@Top10%=2.6667, Precision@Top25%=0.6020, Recall@Top25%=0.6020, Lift@Top25%=2.4080","TN=515, FP=88, FN=73, TP=128","train_time_seconds=6.3469, predict_time_ms=16.3989",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,Extra Trees Balanced,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, số lần lặp tối đa đã thiết lập.",Sử dụng RandomizedSearchCV với cross-validation theo thời gian trên tập train. Ngưỡng phân lớp được chọn trên validation fold cuối của tập train theo F1-score.,0.5899999999999997,"{""model__n_estimators"": 500, ""model__min_samples_leaf"": 3, ""model__max_features"": ""sqrt"", ""model__max_depth"": null}","Accuracy=0.7998, Balanced Accuracy=0.7371, Precision=0.5971, Recall=0.6119, Specificity=0.8624, F1=0.6044, ROC-AUC=0.8789, PR-AUC=0.6435, Brier=0.1257","Precision@Top10%=0.6543, Recall@Top10%=0.2637, Lift@Top10%=2.6173, Precision@Top25%=0.6070, Recall@Top25%=0.6070, Lift@Top25%=2.4279","TN=520, FP=83, FN=78, TP=123","train_time_seconds=11.7972, predict_time_ms=41.3847",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,Decision Tree Balanced,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, số lần lặp tối đa đã thiết lập.",Sử dụng RandomizedSearchCV với cross-validation theo thời gian trên tập train. Ngưỡng phân lớp được chọn trên validation fold cuối của tập train theo F1-score.,0.5599999999999997,"{""model__min_samples_split"": 20, ""model__min_samples_leaf"": 20, ""model__max_depth"": 5}","Accuracy=0.7388, Balanced Accuracy=0.7363, Precision=0.4851, Recall=0.7313, Specificity=0.7413, F1=0.5833, ROC-AUC=0.8438, PR-AUC=0.5587, Brier=0.1675","Precision@Top10%=0.5432, Recall@Top10%=0.2189, Lift@Top10%=2.1728, Precision@Top25%=0.5721, Recall@Top25%=0.5721, Lift@Top25%=2.2886","TN=447, FP=156, FN=54, TP=147","train_time_seconds=0.6845, predict_time_ms=2.0554",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
