task,target,model,stopping_condition,hyperparameter_optimization,main_metrics,confusion_matrix,business_role
Binary classification,high_future_performance,Extra Trees Balanced,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, hoặc số lần lặp tối đa đã thiết lập.","Phiên bản hiện tại so sánh nhiều kiến trúc mô hình với cấu hình cố định. Các mô hình Logistic Regression, SVM, Decision Tree, Random Forest và Extra Trees sử dụng class_weight='balanced' để xử lý lệch lớp.","Accuracy=0.7488, Balanced Accuracy=0.7811, Precision=0.4985, Recall=0.8458, Specificity=0.7164, F1=0.6273, ROC-AUC=0.8462, PR-AUC=0.5809, Brier=0.1571","TN=432, FP=171, FN=31, TP=170",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,Random Forest Balanced,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, hoặc số lần lặp tối đa đã thiết lập.","Phiên bản hiện tại so sánh nhiều kiến trúc mô hình với cấu hình cố định. Các mô hình Logistic Regression, SVM, Decision Tree, Random Forest và Extra Trees sử dụng class_weight='balanced' để xử lý lệch lớp.","Accuracy=0.7649, Balanced Accuracy=0.7703, Precision=0.5199, Recall=0.7811, Specificity=0.7595, F1=0.6243, ROC-AUC=0.8434, PR-AUC=0.5712, Brier=0.1469","TN=458, FP=145, FN=44, TP=157",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,Linear SVM Balanced,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, hoặc số lần lặp tối đa đã thiết lập.","Phiên bản hiện tại so sánh nhiều kiến trúc mô hình với cấu hình cố định. Các mô hình Logistic Regression, SVM, Decision Tree, Random Forest và Extra Trees sử dụng class_weight='balanced' để xử lý lệch lớp.","Accuracy=0.7500, Balanced Accuracy=0.7720, Precision=0.5000, Recall=0.8159, Specificity=0.7280, F1=0.6200, ROC-AUC=0.8373, PR-AUC=0.5812, Brier=0.1399","TN=439, FP=164, FN=37, TP=164",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,Logistic Regression Balanced,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, hoặc số lần lặp tối đa đã thiết lập.","Phiên bản hiện tại so sánh nhiều kiến trúc mô hình với cấu hình cố định. Các mô hình Logistic Regression, SVM, Decision Tree, Random Forest và Extra Trees sử dụng class_weight='balanced' để xử lý lệch lớp.","Accuracy=0.7612, Balanced Accuracy=0.7662, Precision=0.5149, Recall=0.7761, Specificity=0.7562, F1=0.6190, ROC-AUC=0.8393, PR-AUC=0.5913, Brier=0.1652","TN=456, FP=147, FN=45, TP=156",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,Decision Tree Balanced,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, hoặc số lần lặp tối đa đã thiết lập.","Phiên bản hiện tại so sánh nhiều kiến trúc mô hình với cấu hình cố định. Các mô hình Logistic Regression, SVM, Decision Tree, Random Forest và Extra Trees sử dụng class_weight='balanced' để xử lý lệch lớp.","Accuracy=0.7488, Balanced Accuracy=0.7463, Precision=0.4983, Recall=0.7413, Specificity=0.7512, F1=0.5960, ROC-AUC=0.8142, PR-AUC=0.4870, Brier=0.1805","TN=453, FP=150, FN=52, TP=149",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,HistGradientBoosting,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, hoặc số lần lặp tối đa đã thiết lập.","Phiên bản hiện tại so sánh nhiều kiến trúc mô hình với cấu hình cố định. Các mô hình Logistic Regression, SVM, Decision Tree, Random Forest và Extra Trees sử dụng class_weight='balanced' để xử lý lệch lớp.","Accuracy=0.7923, Balanced Accuracy=0.7023, Precision=0.5966, Recall=0.5224, Specificity=0.8823, F1=0.5570, ROC-AUC=0.8463, PR-AUC=0.5992, Brier=0.1442","TN=532, FP=71, FN=96, TP=105",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
Binary classification,high_future_performance,Gradient Boosting,"Dừng theo điều kiện hội tụ nội bộ của mô hình hoặc khi đạt số cây, số vòng lặp, hoặc số lần lặp tối đa đã thiết lập.","Phiên bản hiện tại so sánh nhiều kiến trúc mô hình với cấu hình cố định. Các mô hình Logistic Regression, SVM, Decision Tree, Random Forest và Extra Trees sử dụng class_weight='balanced' để xử lý lệch lớp.","Accuracy=0.7799, Balanced Accuracy=0.6741, Precision=0.5741, Recall=0.4627, Specificity=0.8856, F1=0.5124, ROC-AUC=0.8444, PR-AUC=0.6031, Brier=0.1373","TN=534, FP=69, FN=108, TP=93",Dự đoán sản phẩm có khả năng thuộc nhóm hiệu quả kinh doanh cao trong 3 tháng tiếp theo để hỗ trợ ưu tiên danh mục sản phẩm.
