model,MAE,MSE,RMSE,R2,WAPE,Bias_ME,train_time_seconds,predict_time_seconds
Random Forest Regressor,1330.3153773454019,3676541.112100727,1917.4308624043597,0.3793915495917328,0.5381018062997236,-165.23264776212534,6.910055160522461,0.03983759880065918
Extra Trees Regressor,1333.7496133990603,3667735.1107105124,1915.1331835437745,0.3808780225320426,0.5394909269963667,-156.80270859233565,1.6471753120422363,0.03623604774475098
Ridge Regression,1350.9032830815452,3662021.002346687,1913.6407714998882,0.3818425769403876,0.5464294475893053,-115.7262304164043,0.0056154727935791016,0.009353160858154297
Gradient Boosting Regressor,1408.0349246737878,3952997.8730993127,1988.2147452172546,0.33272502341485366,0.5695387343503139,-295.34196368265685,2.897963285446167,0.007038593292236328
HistGradientBoosting Regressor,1409.7583123073418,4120893.555547547,2029.9984126958195,0.3043838526955902,0.5702358307038271,-130.31105063984216,0.7500855922698975,0.03981328010559082
