model,threshold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,ROC_AUC,PR_AUC,Brier_Score,Top10_K,Precision_at_Top10pct,Recall_at_Top10pct,Lift_at_Top10pct,Top25_K,Precision_at_Top25pct,Recall_at_Top25pct,Lift_at_Top25pct,TN,FP,FN,TP,best_cv_f1,validation_threshold_f1,validation_threshold_precision,validation_threshold_recall,best_params,train_time_seconds,predict_time_seconds,predict_time_ms
Random Forest Balanced,0.5399999999999998,0.8134328358208955,0.7794361525704809,0.6085106382978723,0.7114427860696517,0.8474295190713101,0.6559633027522935,0.8742440368637739,0.6055341997461775,0.1272479341715098,81,0.6419753086419753,0.25870646766169153,2.567901234567901,201,0.6119402985074627,0.6119402985074627,2.4477611940298507,511,92,58,143,0.6708595387840671,0.6891891891891891,0.6296296296296297,0.7611940298507462,"{""model__n_estimators"": 300, ""model__min_samples_leaf"": 5, ""model__max_features"": ""log2"", ""model__max_depth"": 12}",30.27043867111206,0.022208690643310547,22.208690643310547
Logistic Regression Balanced,0.6099999999999998,0.7960199004975125,0.7728026533996684,0.5725490196078431,0.7263681592039801,0.8192371475953566,0.6403508771929824,0.8605562568583286,0.6035975629418099,0.15180066810610035,81,0.6296296296296297,0.2537313432835821,2.5185185185185186,201,0.6019900497512438,0.6019900497512438,2.4079601990049753,494,109,55,146,0.6534386847606561,0.7058823529411765,0.627906976744186,0.8059701492537313,"{""model__C"": 0.3}",0.5825963020324707,0.0,0.0
Linear SVM Balanced,0.30999999999999994,0.7873134328358209,0.7703150912106136,0.556390977443609,0.736318407960199,0.8043117744610282,0.6338329764453962,0.8542569078323143,0.5927044988132771,0.13309623844536467,81,0.6049382716049383,0.24378109452736318,2.419753086419753,201,0.5870646766169154,0.5870646766169154,2.3482587064676617,485,118,53,148,0.6396394377977924,0.7006369426751592,0.6111111111111112,0.8208955223880597,"{""model__C"": 3.0}",7.085224628448486,0.011986494064331055,11.986494064331055
Gradient Boosting,0.29999999999999993,0.7860696517412935,0.7595356550580431,0.5568627450980392,0.7064676616915423,0.8126036484245439,0.6228070175438597,0.8534235951255331,0.5861936881888652,0.13818584026415293,81,0.6296296296296297,0.2537313432835821,2.5185185185185186,201,0.5621890547263682,0.5621890547263682,2.2487562189054726,490,113,59,142,0.6159788957980026,0.6797385620915033,0.6046511627906976,0.7761194029850746,"{""model__subsample"": 1.0, ""model__n_estimators"": 300, ""model__max_depth"": 4, ""model__learning_rate"": 0.03}",26.90129327774048,0.006293535232543945,6.293535232543945
HistGradientBoosting,0.20999999999999996,0.7997512437810945,0.7454394693200663,0.5925925925925926,0.6368159203980099,0.8540630182421227,0.6139088729016786,0.8600034652607609,0.5951920598719974,0.15652435457362515,81,0.6666666666666666,0.26865671641791045,2.6666666666666665,201,0.6019900497512438,0.6019900497512438,2.4079601990049753,515,88,73,128,0.6111493777839004,0.6530612244897959,0.6,0.7164179104477612,"{""model__max_leaf_nodes"": 31, ""model__max_iter"": 200, ""model__learning_rate"": 0.1, ""model__l2_regularization"": 0.0}",6.346941947937012,0.016398906707763672,16.398906707763672
Extra Trees Balanced,0.5899999999999997,0.7997512437810945,0.7371475953565505,0.5970873786407767,0.6119402985074627,0.8623548922056384,0.6044226044226044,0.8788643845449369,0.6435412259943313,0.12565588451337079,81,0.654320987654321,0.263681592039801,2.617283950617284,201,0.6069651741293532,0.6069651741293532,2.427860696517413,520,83,78,123,0.6751244184788489,0.6901408450704225,0.6533333333333333,0.7313432835820896,"{""model__n_estimators"": 500, ""model__min_samples_leaf"": 3, ""model__max_features"": ""sqrt"", ""model__max_depth"": null}",11.797224044799805,0.04138469696044922,41.38469696044922
Decision Tree Balanced,0.5599999999999997,0.7388059701492538,0.736318407960199,0.48514851485148514,0.7313432835820896,0.7412935323383084,0.5833333333333334,0.8438363736871198,0.5587248800773976,0.16753381859695526,81,0.5432098765432098,0.21890547263681592,2.1728395061728394,201,0.572139303482587,0.572139303482587,2.288557213930348,447,156,54,147,0.6216410089179957,0.6823529411764706,0.5631067961165048,0.8656716417910447,"{""model__min_samples_split"": 20, ""model__min_samples_leaf"": 20, ""model__max_depth"": 5}",0.6845114231109619,0.0020554065704345703,2.0554065704345703
