target,target_display,model,MAE,MSE,RMSE,NMAE,WAPE,R2,Bias_ME,train_time_seconds,predict_time_seconds
daily_revenue,Doanh thu ngày,Random Forest Regressor,3044.1308505559637,14960285.983305078,3867.8528905977123,0.377637153055001,0.37763715305500106,-0.03177000564206511,210.30800387044036,0.6191842555999756,0.08269572257995605
daily_revenue,Doanh thu ngày,Extra Trees Regressor,3060.269899502039,15187247.38252806,3897.0819060584367,0.37963926951983634,0.37963926951983634,-0.0474229125729988,105.72764096908126,0.3586006164550781,0.06371688842773438
daily_revenue,Doanh thu ngày,Ridge Regression,3071.974168608942,14600658.53016903,3821.080806547937,0.38109123301322995,0.3810912330132299,-0.006967483834307009,-64.67457917392936,0.012197256088256836,0.00596308708190918
daily_revenue,Doanh thu ngày,Lasso Regression,3072.1077045103434,14602057.052196838,3821.2638030103126,0.3811077986998287,0.3811077986998287,-0.007063936073397281,-64.63121468637529,0.013903379440307617,0.006005525588989258
daily_revenue,Doanh thu ngày,Linear Regression,3072.1084435716816,14602075.881340291,3821.2662667419936,0.38110789038347614,0.38110789038347614,-0.00706523466792075,-64.62700864620751,0.012744665145874023,0.0
daily_revenue,Doanh thu ngày,Gradient Boosting Regressor,3334.607534853807,17612231.733940966,4196.692952068446,0.41367199960801954,0.4136719996080196,-0.21466745059395298,-28.810675595203257,0.3944416046142578,0.0017719268798828125
daily_revenue,Doanh thu ngày,HistGradientBoosting Regressor,3437.7922168018017,18434882.045325216,4293.586152079077,0.42647249059959763,0.42647249059959763,-0.2714033924981101,417.10682045047065,2.970590114593506,0.013994216918945312
daily_revenue,Doanh thu ngày,Moving Average 7 days,3453.5860411622284,17606710.122557197,4196.035047822789,0.42843178051193265,0.4284317805119327,-0.21428664015925003,-34.41901937046013,0.0,0.0
