model,accuracy,precision,recall,f1
Logistic Regression,0.516,0.32884615384615384,0.5588235294117647,0.41404358353510895
SVM,0.531,0.32842105263157895,0.5098039215686274,0.3994878361075544
Decision Tree,0.54,0.32964601769911506,0.4869281045751634,0.39313984168865435
Extra Trees,0.55,0.3325581395348837,0.4673202614379085,0.38858695652173914
Random Forest,0.559,0.3246753246753247,0.4084967320261438,0.361794500723589
Gradient Boosting,0.687,0.3333333333333333,0.02287581699346405,0.04281345565749235
AdaBoost,0.694,0.0,0.0,0.0
