model,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,ROC_AUC,PR_AUC,Brier_Score,Precision_at_K,Recall_at_K,Lift_at_K,TN,FP,FN,TP,train_time_seconds,predict_time_seconds
Extra Trees Balanced,0.7487562189054726,0.7810945273631841,0.49853372434017595,0.845771144278607,0.7164179104477612,0.6273062730627307,0.8462331790467232,0.5808506188824474,0.15713970046575124,0.5621890547263682,0.5621890547263682,2.2487562189054726,432,171,31,170,0.3069028854370117,0.032056570053100586
Random Forest Balanced,0.7649253731343284,0.7703150912106136,0.5198675496688742,0.7810945273631841,0.7595356550580431,0.6242544731610338,0.8434362185754477,0.5711683291653518,0.14685590512622854,0.5671641791044776,0.5671641791044776,2.2686567164179103,458,145,44,157,0.9268364906311035,0.04021620750427246
Linear SVM Balanced,0.75,0.7719734660033167,0.5,0.8159203980099502,0.7280265339966833,0.6200378071833649,0.8372730047936107,0.5811725442787111,0.1398511994287708,0.5522388059701493,0.5522388059701493,2.208955223880597,439,164,37,164,0.7447750568389893,0.030022144317626953
Logistic Regression Balanced,0.7611940298507462,0.7661691542288558,0.5148514851485149,0.7761194029850746,0.7562189054726368,0.6190476190476191,0.8392861562832603,0.5912801986289092,0.16524530571569954,0.5522388059701493,0.5522388059701493,2.208955223880597,456,147,45,156,0.012240409851074219,0.0046844482421875
Decision Tree Balanced,0.7487562189054726,0.7462686567164178,0.4983277591973244,0.7412935323383084,0.7512437810945274,0.596,0.8141588904565069,0.4869983748859324,0.18053739656082415,0.5223880597014925,0.5223880597014925,2.08955223880597,453,150,52,149,0.015834808349609375,0.005159139633178711
HistGradientBoosting,0.7922885572139303,0.7023217247097844,0.5965909090909091,0.5223880597014925,0.8822553897180763,0.5570291777188329,0.8462909333927378,0.5992414689141299,0.14423804053463993,0.5771144278606966,0.5771144278606966,2.308457711442786,532,71,96,105,0.404951810836792,0.0395052433013916
Gradient Boosting,0.7798507462686567,0.6741293532338308,0.5740740740740741,0.4626865671641791,0.8855721393034826,0.512396694214876,0.8443932905951173,0.6031085378556406,0.13733201013889754,0.5572139303482587,0.5572139303482587,2.228855721393035,534,69,108,93,1.5137243270874023,0.0
